Date,Close
2017-12-08,14293.69
2017-12-11,14312.29
2017-12-12,14291.41
2017-12-13,14357.67
2017-12-14,14445.57
2017-12-15,14485.55
2017-12-18,14507.82
2017-12-19,14409.54
2017-12-20,14377.92
2017-12-21,14366.84
2017-12-22,14394.64
2017-12-27,14326.23
2017-12-28,14527.38
2017-12-29,14595.76
2018-01-03,14640.09
2018-01-04,14729.76
2018-01-05,14868.5
2018-01-08,14961.07
2018-01-09,14977.65
2018-01-10,14904.59
2018-01-11,15007.55
2018-01-12,15041.51
2018-01-15,15095.87
2018-01-16,15072.48
2018-01-17,14987.5
2018-01-18,15034.51
2018-01-19,15038.42
2018-01-22,15071.92
2018-01-23,15042.04
2018-01-24,14999.47
2018-01-25,14944.48
2018-01-26,15024.8
2018-01-29,15026.83
2018-01-30,14962.36
2018-01-31,14968.64
2018-02-01,14953.33
2018-02-02,14912.37
2018-02-05,14773.03
2018-02-06,14405.79
2018-02-07,14559.17
2018-02-08,14513.32
2018-02-09,14372.65
2018-02-12,14518.53
2018-02-13,14579.79
2018-02-14,14751.54
2018-02-15,14771.37
2018-02-16,14755.86
2018-02-19,14794.07
2018-02-20,14794.4
2018-02-21,14701.87
2018-02-22,14698.31
2018-02-23,14705.88
2018-02-26,14668.0
2018-02-27,14684.83
2018-02-28,14597.05
2018-03-01,14621.07
2018-03-02,14486.69
2018-03-05,14430.87
2018-03-06,14464.55
2018-03-07,14485.5
2018-03-08,14495.07
2018-03-09,14493.45
2018-03-12,14563.78
2018-03-13,14551.49
2018-03-14,14558.21
2018-03-15,14499.59
2018-03-16,14454.84
2018-03-19,14341.0
2018-03-20,14371.97
2018-03-21,14432.83
2018-03-22,14362.55
2018-03-23,14335.95
2018-03-26,14272.71
2018-03-27,14269.99
2018-03-28,14122.99
2018-03-29,14179.62
2018-04-03,14171.23
2018-04-04,14144.89
2018-04-05,14261.3
2018-04-06,14235.11
2018-04-09,14360.1
2018-04-10,14418.21
2018-04-11,14318.01
2018-04-12,14328.26
2018-04-13,14321.52
2018-04-16,14279.17
2018-04-17,14218.23
2018-04-18,14218.45
2018-04-19,14126.48
2018-04-20,14099.58
2018-04-23,14115.31
2018-04-24,14068.57
2018-04-25,14062.09
2018-04-26,13953.11
2018-04-27,14021.04
2018-04-30,14120.5
2018-05-02,14097.84
2018-05-04,14049.76
2018-05-07,14051.5
2018-05-08,13935.92
2018-05-09,13931.08
2018-05-10,13938.72
2018-05-11,14004.99
2018-05-14,14063.99
2018-05-15,14080.07
2018-05-16,14026.36
2018-05-17,13984.88
2018-05-18,13965.18
2018-05-21,13952.97
2018-05-22,13969.08
2018-05-23,13816.98
2018-05-24,13736.58
2018-05-25,13765.63
2018-05-28,13843.94
2018-05-29,13714.52
2018-05-30,13625.96
2018-06-01,13592.87
2018-06-04,13532.31
2018-06-05,13637.74
2018-06-06,13594.72
2018-06-07,13637.35
2018-06-08,13607.4
2018-06-11,13573.06
2018-06-12,13584.97
2018-06-13,13583.34
2018-06-14,13587.4
2018-06-15,13549.08
2018-06-18,13375.16
2018-06-19,13250.11
2018-06-20,13214.13
2018-06-21,13136.71
2018-06-22,13035.7
2018-06-25,12877.21
2018-06-26,12658.25
2018-06-27,12574.97
2018-06-28,12585.34
2018-06-29,12689.02
2018-07-02,12683.81
2018-07-03,12771.23
2018-07-04,12756.45
2018-07-05,12751.14
2018-07-06,12750.18
2018-07-09,12709.37
2018-07-10,12741.78
2018-07-11,12687.64
2018-07-12,12645.26
2018-07-13,12626.58
2018-07-16,12643.19
2018-07-17,12702.23
2018-07-18,12698.04
2018-07-19,12650.48
2018-07-20,12670.7
2018-07-23,12723.41
2018-07-24,12742.8
2018-07-25,12848.41
2018-07-26,12883.58
2018-07-27,12980.07
2018-07-30,13023.16
2018-07-31,13042.09
2018-08-01,13011.34
2018-08-02,12933.66
2018-08-03,12986.17
2018-08-06,12929.94
2018-08-07,12909.32
2018-08-08,12868.66
2018-08-09,12887.74
2018-08-10,12828.64
2018-08-13,12759.72
2018-08-14,12799.11
2018-08-16,12797.61
2018-08-17,12810.02
2018-08-20,12705.48
2018-08-21,12719.27
2018-08-22,12730.27
2018-08-23,12696.59
2018-08-24,12695.44
2018-08-27,12763.97
2018-08-28,12741.18
2018-08-29,12749.68
2018-08-30,12775.35
2018-08-31,12559.44
2018-09-03,12328.46
2018-09-04,12109.45
2018-09-05,11990.61
2018-09-06,11765.23
